"#","リール","マッチ","V","C","長さ","ソースのイン","ソースのアウト","タイムライン上の長さ","タイムライン上のイン","タイムライン上のアウト","名前","コメント","ソース先頭","ソース末尾","ソースの長さ","コーデック","ソースのFPS","解像度","カラー","メモ","EDLクリップ名","マーカーキーワード"
"001","","","V1","C","","00:00:00:00","00:00:03:00","00:00:03:00","00:00:00:00","00:00:03:00","200決まりOP","","00:00:00:00","00:00:03:00","00:00:03:00","Apple ProRes 422 HQ","23.976","3840x2160","","","",""
"002","","","A1","C","","00:00:00:00","00:00:03:00","00:00:03:00","00:00:00:00","00:00:03:00","200決まりOP","","00:00:00:00","00:00:03:00","00:00:03:00","Apple ProRes 422 HQ","23.976","","","","",""
"003","","","V2","C","27.2619","00:06:55;13","00:07:05;09","00:00:10:24","00:00:03:00","00:00:13:24","Close-up-of-woman-hand-enjoy-using-mobile-phone-on-the-white-bed-relaxing-at-daytime-1329796063_4K-3840x2160--29.97p-Photo-JPEG","","00:06:55;12","00:07:05;16","00:00:10;02","Photo JPEG YUV 420","29.970 DF","3840x2160","","","",""
"M2","","","","","27.3","00:06:55;13","","","","","","","","","","","","","","","",""
"004","","","V2","D","30","00:00:03:00","00:00:04:00","00:00:01:00","00:00:03:00","00:00:04:00","クロスディゾルブ","","","","","","0.000","","","","",""
"005","","X","V3","C","","01:08:51:22","01:08:51:22","00:08:13:21","00:00:03:00","00:08:16:21","orion 画面汚し","","01:00:29:16","01:08:51:23","00:08:22:07","","29.970","","","","",""
"006","","","A4","C","","00:55:04:05","00:56:14:03","00:01:09:28","00:00:03:00","00:01:12:28","ANW1349_008_Urbonic-02","","00:55:04:05","00:59:00:28","00:03:56:22","","29.970","","","","",""
"007","","","A5","C","","00:55:04:05","00:56:14:03","00:01:09:28","00:00:03:00","00:01:12:28","ANW1349_008_Urbonic-02","","00:55:04:05","00:59:00:28","00:03:56:22","","29.970","","","","",""
"008","","","V1","C","","00:00:04:00","00:00:07:04","00:00:03:04","00:00:04:00","00:00:07:04","テキスト","","","","","","0.000","","","","",""
"009","","","A1","C","","00:00:00:00","00:00:09:13","00:00:09:13","00:00:04:00","00:00:13:13","OrionEp16_001","","00:00:00:00","00:00:09:15","00:00:09:15","","29.970","","","","",""
"010","","","V1","C","","00:00:07:04","00:00:10:09","00:00:03:05","00:00:07:04","00:00:10:09","テキスト","","","","","","0.000","","","","",""
"011","","","V1","C","","00:00:10:09","00:00:13:13","00:00:03:04","00:00:10:09","00:00:13:13","テキスト","","","","","","0.000","","","","",""
"012","","","V1","C","","00:00:13:23","00:00:18:20","00:00:04:27","00:00:13:23","00:00:18:20","テキスト","","","","","","0.000","","","","",""
"013","","","A1","C","","00:00:00:00","00:00:09:23","00:00:09:23","00:00:13:23","00:00:23:16","OrionEp16_002","","00:00:00:00","00:00:09:24","00:00:09:24","","29.970","","","","",""
"014","","","V2","C","","00:00:26:08","00:00:29:23","00:00:03:19","00:00:13:24","00:00:17:13","34796_man_texting_on_his_phone_by_Kevin_Graham_Artgrid-HD_H264-HD","","00:00:26:07","00:00:29:23","00:00:03:16","H.264 High L4.0","23.976","1920x1080","","","",""
"015","","","V2","C","","00:00:00:00","00:00:06:13","00:00:06:13","00:00:17:13","00:00:23:26","water-droplet-slow-motion-SBV-347583140-HD","","00:00:00:00","00:00:18:01","00:00:18:01","H.264 High L4.0","29.970","1920x1080","","","",""
"016","","","V1","C","","00:00:18:20","00:00:23:16","00:00:04:26","00:00:18:20","00:00:23:16","テキスト","","","","","","0.000","","","","",""
"017","","","V1","C","","00:00:00:15","00:00:07:20","00:00:07:05","00:00:23:26","00:00:31:01","epic-aerial-view-of-new-york-city-street-and-skyscraper-buildings-at-night-SBV-307647594-HD","","00:00:00:00","00:00:09:26","00:00:09:26","H.264 High L4.0","29.970","1920x1080","","","",""
"018","","X","V5","C","","00:00:00:00","00:00:07:10","00:00:07:10","00:00:23:26","00:00:31:06","Simple Underline Lower Third copy 1","","00:00:00:00","00:00:11:06","00:00:11:06","","29.970","","","","",""
"019","","","A1","C","","00:00:00:00","00:00:03:05","00:00:03:05","00:00:23:26","00:00:27:01","OrionEp16_003","","00:00:00:00","00:00:06:18","00:00:06:18","","29.970","","","","",""
"020","","","A1","C","","00:00:00:00","00:00:03:05","00:00:03:05","00:00:27:08","00:00:30:13","01-S2EP01","","00:00:00:00","00:00:03:05","00:00:03:05","","29.970","","","","",""
"021","","","V5","D","30","00:00:30:06","00:00:31:06","00:00:01:00","00:00:30:06","00:00:31:06","クロスディゾルブ","","","","","","0.000","","","","",""
"022","","","A1","C","","00:00:00:00","00:00:06:07","00:00:06:07","00:00:30:23","00:00:37:00","OrionEp16_004","","00:00:00:00","00:00:06:08","00:00:06:08","","29.970","","","","",""
"023","","","V6","C","","00:00:07:20","00:00:08:09","00:00:00:19","00:00:31:01","00:00:31:20","epic-aerial-view-of-new-york-city-street-and-skyscraper-buildings-at-night-SBV-307647594-HD","","00:00:00:00","00:00:09:26","00:00:09:26","H.264 High L4.0","29.970","1920x1080","","","",""
"024","","X","V7","C","","01:09:26:26","01:09:26:26","00:00:06:09","00:00:31:01","00:00:37:10","orion 画面汚し","","01:00:32:19","01:09:26:27","00:08:54:08","","29.970","","","","",""
"025","","","V6","C","7.82546","00:00:01:12","00:00:02:26","00:00:05:20","00:00:31:20","00:00:37:10","night-sky-stars-blinking-and-falling-motion-background-SBV-351964015-HD","","00:00:00:00","00:00:15:00","00:00:15:00","H.264 High L4.0","29.970","1920x1080","","","",""
"M2","","","","","7.8","00:00:01:12","","","","","","","","","","","","","","","",""
"026","","","V1","C","7.82546","00:00:03:04","00:00:03:11","00:00:00:24","00:00:37:10","00:00:38:04","night-sky-stars-blinking-and-falling-motion-background-SBV-351964015-HD","","00:00:00:00","00:00:15:00","00:00:15:00","H.264 High L4.0","29.970","1920x1080","","","",""
